amenity_id,amenity_name,source_url,last_verified
amenity_1,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_2,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_3,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_4,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_5,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_6,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_7,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_8,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_9,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_10,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_11,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_12,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
amenity_13,unknown,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,2026-06-24
